locus,GC_content,protein_length,similarity_to_effectors_vs_non_effectors,A_full_protein,A_N-terminus,C_full_protein,C_N-terminus,D_full_protein,D_N-terminus,E_full_protein,E_N-terminus,F_full_protein,F_N-terminus,G_full_protein,G_N-terminus,H_full_protein,H_N-terminus,I_full_protein,I_N-terminus,K_full_protein,K_N-terminus,L_full_protein,L_N-terminus,M_full_protein,M_N-terminus,N_full_protein,N_N-terminus,P_full_protein,P_N-terminus,Q_full_protein,Q_N-terminus,R_full_protein,R_N-terminus,S_full_protein,S_N-terminus,T_full_protein,T_N-terminus,V_full_protein,V_N-terminus,W_full_protein,W_N-terminus,Y_full_protein,Y_N-terminus,hydrophobicity_N-terminus_BLAS910101,amphiphilicity_N-terminus_MITS020101,hydrophilicity_N-terminus_KUHL950101,hydrophobicity_N-terminus_CIDH920105,homology_to_effectors_(bit_score),hits_to_effectors,homology_to_mammal_pathogens_effectors_(bit_score),hits_to_mammal_pathogens_effectors,homology_to_phytopathogens_effectors_(bit_score),hits_to_phytopathogens_effectors,SecYEG_existence_(SignalP),SecYEG_score_(SignalP),distance_from_closest_effector,effectors_in_closest_5_ORFs,effectors_in_closest_10_ORFs,effectors_in_closest_15_ORFs,effectors_in_closest_20_ORFs,effectors_in_closest_25_ORFs,effectors_in_closest_30_ORFs,is_effector
ACCM_0001,0.6656118143459916,315,-0.0065766532302845146,0.0984126984126984,0.12,0.012698412698412698,0.0,0.04126984126984127,0.04,0.047619047619047616,0.0,0.022222222222222227,0.0,0.06984126984126984,0.04,0.0380952380952381,0.08,0.04444444444444445,0.0,0.01904761904761905,0.04,0.08571428571428573,0.16,0.015873015873015872,0.04,0.04126984126984127,0.08,0.057142857142857134,0.0,0.05396825396825397,0.08,0.13968253968253969,0.16,0.057142857142857134,0.04,0.05396825396825397,0.04,0.05396825396825397,0.08,0.01904761904761905,0.0,0.028571428571428567,0.0,0.4373199999999999,0.7548,0.9808,-0.04040000000000005,0.0,0,0.0,0,0.0,0,0,0.222,141,0,0,0,0,0,0,no
ACCM_0002,0.7331288343558282,325,0.0195480875104572,0.1907692307692308,0.16,0.009230769230769232,0.0,0.04615384615384616,0.0,0.05230769230769231,0.0,0.006153846153846154,0.0,0.1076923076923077,0.24,0.02769230769230769,0.0,0.015384615384615384,0.08,0.021538461538461538,0.08,0.12,0.08,0.018461538461538463,0.04,0.015384615384615384,0.04,0.04923076923076923,0.0,0.04307692307692308,0.04,0.06769230769230769,0.0,0.02769230769230769,0.0,0.04923076923076923,0.12,0.11076923076923076,0.12,0.015384615384615384,0.0,0.006153846153846154,0.0,0.59432,0.3436,0.7676000000000001,0.022799999999999945,0.0,0,0.0,0,0.0,0,0,0.321,142,0,0,0,0,0,0,no
ACCM_0003,0.6651851851851852,224,0.011125568320773174,0.11160714285714286,0.12,0.0,0.0,0.04017857142857143,0.08,0.07142857142857142,0.0,0.02232142857142857,0.0,0.08928571428571429,0.0,0.017857142857142856,0.0,0.08482142857142858,0.12,0.026785714285714284,0.04,0.11160714285714286,0.16,0.03125,0.04,0.02232142857142857,0.0,0.05357142857142857,0.04,0.05357142857142857,0.16,0.08482142857142858,0.08,0.05357142857142857,0.04,0.05357142857142857,0.12,0.05803571428571429,0.0,0.0,0.0,0.013392857142857142,0.0,0.518,0.5428000000000001,0.9284,-0.0020000000000000282,0.0,0,0.0,0,0.0,0,0,0.13,143,0,0,0,0,0,0,no
ACCM_0004,0.7395833333333334,159,-0.014948972537598996,0.2138364779874214,0.12,0.031446540880503145,0.04,0.03773584905660377,0.04,0.03773584905660377,0.0,0.012578616352201259,0.04,0.07547169811320754,0.04,0.03773584905660377,0.04,0.006289308176100629,0.0,0.006289308176100629,0.04,0.07547169811320754,0.28,0.012578616352201259,0.04,0.012578616352201259,0.0,0.06918238993710693,0.04,0.031446540880503145,0.04,0.1069182389937107,0.04,0.0880503144654088,0.08,0.06289308176100629,0.04,0.06289308176100629,0.04,0.018867924528301886,0.04,0.0,0.0,0.6270799999999999,0.63,0.7911999999999999,0.30760000000000004,0.0,0,0.0,0,0.0,0,0,0.268,144,0,0,0,0,0,0,?
ACCM_0005,0.6958637469586375,1369,0.008807900564137397,0.13075237399561726,0.12,0.005113221329437546,0.0,0.05551497443389335,0.04,0.06939371804236669,0.0,0.03214024835646457,0.04,0.07085463842220599,0.08,0.018261504747991236,0.0,0.048210372534696865,0.04,0.04236669101533967,0.04,0.10737764791818846,0.08,0.013878743608473338,0.04,0.020452885317750184,0.0,0.0620891161431702,0.24,0.051862673484295116,0.04,0.09715120525931337,0.12,0.04017531044558072,0.08,0.03871439006574142,0.0,0.0620891161431702,0.04,0.013878743608473338,0.0,0.019722425127830533,0.0,0.5515199999999999,0.4908,0.858,-0.01040000000000001,0.0,0,0.0,0,0.0,0,0,0.139,145,0,0,0,0,0,0,no
ACCM_0006,0.7530864197530864,80,-0.01108197474527825,0.1875,0.16,0.0,0.0,0.025,0.0,0.025,0.04,0.0,0.0,0.1125,0.04,0.025,0.0,0.0125,0.0,0.0375,0.12,0.075,0.04,0.0375,0.08,0.0125,0.0,0.05,0.04,0.075,0.08,0.1875,0.2,0.0625,0.08,0.0,0.0,0.05,0.08,0.0125,0.0,0.0125,0.04,0.4294800000000001,1.2836,1.0168,-0.11639999999999998,0.0,0,0.0,0,0.0,0,0,0.192,146,0,0,0,0,0,0,?
ACCM_0007,0.7425287356321839,434,0.0007009307182189728,0.16359447004608296,0.24,0.013824884792626729,0.04,0.04608294930875576,0.04,0.04147465437788018,0.0,0.016129032258064516,0.0,0.11059907834101383,0.12,0.039170506912442386,0.04,0.03225806451612903,0.12,0.004608294930875576,0.0,0.10599078341013823,0.0,0.013824884792626729,0.0,0.004608294930875576,0.0,0.07834101382488479,0.04,0.02534562211981567,0.04,0.1152073732718894,0.12,0.04608294930875576,0.0,0.034562211981566816,0.04,0.06221198156682028,0.16,0.02304147465437788,0.0,0.02304147465437788,0.0,0.54452,0.402,0.8291999999999998,0.1775999999999999,0.0,0,0.0,0,0.0,0,0,0.166,147,0,0,0,0,0,0,no
ACCM_0008,0.6659242761692651,448,0.020652678003225552,0.10267857142857142,0.08,0.011160714285714286,0.0,0.05803571428571429,0.0,0.06473214285714286,0.0,0.046875,0.2,0.07366071428571429,0.0,0.024553571428571428,0.08,0.06473214285714286,0.04,0.046875,0.04,0.08035714285714286,0.0,0.024553571428571428,0.04,0.02008928571428572,0.04,0.05580357142857143,0.08,0.046875,0.0,0.06026785714285714,0.08,0.04241071428571429,0.08,0.05803571428571429,0.04,0.08928571428571429,0.12,0.008928571428571428,0.04,0.02008928571428572,0.04,0.6234,0.9384,0.8056,0.4567999999999999,0.0,0,0.0,0,0.0,0,0,0.24100000000000002,148,0,0,0,0,0,0,no
ACCM_0009,0.7290167865707434,277,0.0022951567431823555,0.14801444043321302,0.2,0.010830324909747292,0.0,0.06137184115523465,0.0,0.05776173285198556,0.08,0.01444043321299639,0.04,0.11191335740072203,0.24,0.01444043321299639,0.0,0.010830324909747292,0.0,0.010830324909747292,0.0,0.10469314079422384,0.04,0.02888086642599278,0.04,0.018050541516245487,0.0,0.05054151624548736,0.0,0.02888086642599278,0.04,0.11191335740072203,0.08,0.04332129963898917,0.08,0.07581227436823104,0.0,0.06498194945848375,0.16,0.021660649819494584,0.0,0.010830324909747292,0.0,0.52488,0.3476000000000001,0.8384,-0.11400000000000005,0.0,0,0.0,0,0.0,0,0,0.115,149,0,0,0,0,0,0,?
ACCM_0010,0.7328918322295805,301,0.003862419729100911,0.1760797342192691,0.2,0.019933554817275743,0.0,0.03654485049833888,0.0,0.06312292358803986,0.08,0.04318936877076412,0.04,0.06976744186046513,0.0,0.019933554817275743,0.08,0.0132890365448505,0.0,0.003322259136212625,0.0,0.14950166112956811,0.2,0.009966777408637871,0.04,0.019933554817275743,0.08,0.0664451827242525,0.04,0.03322259136212625,0.0,0.106312292358804,0.12,0.04318936877076412,0.04,0.04318936877076412,0.04,0.05647840531561463,0.04,0.019933554817275743,0.0,0.006644518272425249,0.0,0.51064,0.5116,0.9240000000000002,0.1156,0.0,0,0.0,0,0.0,0,0,0.113,150,0,0,0,0,0,0,no
ACCM_0011,0.7146282973621103,555,0.0018763683903904246,0.13873873873873874,0.16,0.027027027027027032,0.04,0.05225225225225225,0.08,0.07027027027027027,0.0,0.025225225225225224,0.04,0.08648648648648649,0.04,0.021621621621621626,0.04,0.023423423423423424,0.04,0.021621621621621626,0.04,0.0990990990990991,0.2,0.021621621621621626,0.04,0.005405405405405407,0.0,0.08288288288288287,0.08,0.03783783783783784,0.04,0.1009009009009009,0.04,0.04324324324324325,0.04,0.027027027027027032,0.04,0.06846846846846846,0.0,0.023423423423423424,0.0,0.023423423423423424,0.04,0.5962799999999999,0.5551999999999999,0.8296000000000001,0.214,0.0,0,0.0,0,0.0,0,0,0.142,151,0,0,0,0,0,0,no
ACCM_0012,0.6912878787878788,175,0.021712620331867896,0.13142857142857142,0.24,0.03428571428571429,0.04,0.022857142857142857,0.04,0.017142857142857144,0.0,0.06285714285714286,0.0,0.10857142857142857,0.0,0.005714285714285714,0.0,0.06285714285714286,0.08,0.0,0.0,0.11428571428571427,0.16,0.051428571428571435,0.08,0.017142857142857144,0.04,0.051428571428571435,0.04,0.022857142857142857,0.0,0.06857142857142857,0.08,0.057142857142857134,0.08,0.022857142857142857,0.0,0.08,0.08,0.045714285714285714,0.04,0.022857142857142857,0.0,0.6292399999999999,0.4732,0.7939999999999999,0.4144000000000001,0.0,0,0.0,0,0.0,0,0,0.21899999999999997,152,0,0,0,0,0,0,no
ACCM_0013,0.6853333333333333,374,0.012306396900174134,0.09893048128342248,0.04,0.00267379679144385,0.0,0.06684491978609626,0.12,0.07219251336898395,0.04,0.045454545454545456,0.08,0.08021390374331551,0.04,0.04010695187165776,0.0,0.056149732620320865,0.16,0.02406417112299465,0.04,0.10160427807486633,0.08,0.0106951871657754,0.04,0.016042780748663103,0.04,0.050802139037433164,0.0,0.056149732620320865,0.08,0.08823529411764706,0.08,0.053475935828877004,0.12,0.03475935828877005,0.0,0.08288770053475936,0.04,0.008021390374331552,0.0,0.0106951871657754,0.0,0.50252,0.4936,0.9164,0.08720000000000003,0.0,0,0.0,0,0.0,0,0,0.099,153,0,0,0,0,0,0,no
ACCM_0014,0.7012578616352201,317,0.02517761015160451,0.1640378548895899,0.12,0.003154574132492113,0.0,0.01577287066246057,0.0,0.044164037854889586,0.04,0.050473186119873815,0.0,0.06624605678233439,0.04,0.01577287066246057,0.04,0.05678233438485805,0.0,0.0220820189274448,0.0,0.12933753943217666,0.04,0.00946372239747634,0.04,0.0220820189274448,0.04,0.0694006309148265,0.08,0.028391167192429026,0.04,0.0473186119873817,0.16,0.03785488958990536,0.04,0.07570977917981073,0.2,0.0914826498422713,0.04,0.031545741324921134,0.08,0.01892744479495268,0.0,0.45348,1.1052,0.9972,-0.13920000000000005,0.0,0,0.0,0,0.0,0,0,0.12,154,0,0,0,0,0,0,no
ACCM_0015,0.6769406392694064,291,0.027494189992427337,0.13745704467353953,0.24,0.0,0.0,0.01718213058419244,0.0,0.030927835051546393,0.0,0.06529209621993128,0.0,0.0859106529209622,0.2,0.0,0.0,0.08247422680412371,0.04,0.027491408934707903,0.0,0.14089347079037803,0.0,0.01718213058419244,0.04,0.013745704467353952,0.0,0.0584192439862543,0.12,0.027491408934707903,0.0,0.044673539518900345,0.2,0.054982817869415807,0.12,0.061855670103092786,0.04,0.0859106529209622,0.0,0.020618556701030927,0.0,0.027491408934707903,0.0,0.46168000000000003,0.49,0.9292,-0.28479999999999994,0.0,0,0.0,0,0.0,0,0,0.129,155,0,0,0,0,0,0,no
ACCM_0016,0.6558185404339251,337,0.014986233641085313,0.12462908011869435,0.32,0.0,0.0,0.06824925816023739,0.0,0.03857566765578635,0.0,0.04747774480712166,0.04,0.08902077151335312,0.04,0.014836795252225518,0.0,0.02077151335311573,0.0,0.08605341246290801,0.08,0.0712166172106825,0.16,0.005934718100890208,0.04,0.04451038575667656,0.04,0.032640949554896145,0.0,0.03560830860534125,0.0,0.04451038575667656,0.04,0.04451038575667656,0.08,0.07418397626112759,0.12,0.10979228486646883,0.04,0.008902077151335312,0.0,0.03857566765578635,0.0,0.58536,0.3916,0.8372000000000002,0.045600000000000016,0.0,0,0.0,0,0.0,0,1,0.866,156,0,0,0,0,0,0,no
ACCM_0017,0.7388316151202751,193,0.004912629961347198,0.13989637305699482,0.04,0.010362694300518135,0.0,0.04145077720207254,0.04,0.05181347150259067,0.0,0.010362694300518135,0.0,0.0932642487046632,0.16,0.03626943005181347,0.04,0.031088082901554407,0.04,0.0,0.0,0.08290155440414508,0.08,0.010362694300518135,0.04,0.010362694300518135,0.0,0.0932642487046632,0.08,0.031088082901554407,0.04,0.08808290155440414,0.08,0.06735751295336788,0.08,0.031088082901554407,0.08,0.10362694300518134,0.12,0.046632124352331605,0.08,0.02072538860103627,0.0,0.55608,0.8583999999999999,0.8339999999999997,0.09359999999999996,0.0,0,0.0,0,0.0,0,0,0.134,157,0,0,0,0,0,0,?
ACCM_0018,0.7002801120448179,237,0.01938703801323964,0.18565400843881855,0.04,0.012658227848101266,0.0,0.016877637130801686,0.0,0.04219409282700422,0.0,0.029535864978902957,0.04,0.06329113924050632,0.0,0.016877637130801686,0.04,0.029535864978902957,0.0,0.008438818565400843,0.0,0.16877637130801687,0.08,0.016877637130801686,0.04,0.008438818565400843,0.04,0.059071729957805914,0.16,0.033755274261603366,0.04,0.05485232067510549,0.12,0.059071729957805914,0.08,0.02109704641350211,0.12,0.10970464135021098,0.12,0.04641350210970464,0.08,0.016877637130801686,0.0,0.5613999999999999,0.9564,0.8795999999999999,0.15919999999999998,0.0,0,0.0,0,0.0,0,0,0.377,158,0,0,0,0,0,0,?
ACCM_0019,0.7190170940170941,311,0.01896828303639853,0.10932475884244372,0.2,0.01607717041800643,0.0,0.05144694533762058,0.08,0.06752411575562701,0.08,0.022508038585209004,0.08,0.08038585209003216,0.12,0.012861736334405145,0.0,0.012861736334405145,0.0,0.012861736334405145,0.0,0.12861736334405144,0.08,0.028938906752411574,0.08,0.012861736334405145,0.04,0.05466237942122187,0.0,0.04180064308681672,0.04,0.10932475884244372,0.08,0.04823151125401929,0.0,0.05787781350482315,0.0,0.11254019292604503,0.08,0.006430868167202572,0.0,0.012861736334405145,0.04,0.5241600000000001,0.55,0.8995999999999998,0.039199999999999985,0.0,0,0.0,0,0.0,0,0,0.096,159,0,0,0,0,0,0,no
ACCM_0020,0.6947040498442367,213,0.0051786093867282465,0.18309859154929575,0.12,0.0,0.0,0.051643192488262914,0.04,0.04225352112676056,0.0,0.04225352112676056,0.0,0.0892018779342723,0.04,0.028169014084507043,0.04,0.03755868544600939,0.08,0.014084507042253518,0.0,0.06572769953051644,0.12,0.018779342723004692,0.04,0.014084507042253518,0.04,0.04225352112676056,0.0,0.056338028169014086,0.08,0.061032863849765265,0.08,0.061032863849765265,0.12,0.07042253521126761,0.12,0.0892018779342723,0.08,0.009389671361502348,0.0,0.023474178403755867,0.0,0.5123999999999999,0.354,0.902,-0.01,0.0,0,0.0,0,0.0,0,0,0.165,160,0,0,0,0,0,0,no
